branch_name, premises_phone, premises_fax, email, website, premises_address, premises_suburb, premises_state, local_beach, premises_postcode
Illawarra Branch, , , windangsecretary@hotmail.com, www.windangslsc.com.au, Fern Street, Windang, NSW, Windang Beach,2528
Illawarra Branch,42291994,42292994, bryce.coleman@live.com.au, www.wollongongcityslsc, Marine Pde, WOLLONGONG, NSW, Wollongong City Beach,2520
Bass (Area), 03 5674 4720, , secretary@wlsc.org.au, wlsc.org.au, 14 Bay Beach Road, Cape Paterson, VIC, Bay Beach Cape Paterson,3995
Gippsland (Area), 03 5187 1246, , , , Ben Rendell Drive / Woodside Beach Road, Woodside Beach, VIC, Woodside,3874
Bass (Area), 03 5956 7311, , secretary@woolamaibeach.asn.au, www.woolamaibeach.asn.au, Woolamai Beach Road, Cape Woolamai, VIC, Woolamai,3925
North Coast Branch, 02 6654 0257, , Mick@woolgoolgaslsc.com, www.woolgoolgaslsc.com, 15 Hofmeier Close, Woolgoolga, NSW, Woolgoolga Beach,2456
Illawarra Branch, 02 4285 8180, , woononascsecretary@gmail.com, www.woononaslsc.com.au, Kurraba Rd, Woonona, NSW, Woonona Beach,2517
Otway (Area), 03 5289 0297, , barbante@optusnet.com.au, www.wyeriverslsc.asn.au, Great Ocean Road, Wye River, VIC, Wye River,3234
Far North Coast Branch,266462463,266458648, office@yambaslsc.com.au, www.yambaslsc.com.au, 1 Marine Parade, Yamba, NSW, Yamba Beach,2464
Misc WA Clubs, (00) 00000000, , yanchepsurflifesaving@gmail.com, www.yanchepsurflifesaving.com.au, , , WA, Yanchep, 
Wide Bay Capricorn Branch, 07 4939 4212, , secretary@yeppoonslsc.com.au, http://www.yeppoonslsc.com.au/, Anzac Parade, Yeppoon, QLD, Yeppoon,4703
