premises_name, wine_region, website, premises_address, premises_suburb, premises_state&postcode, phone, fax, opening_hours, winemaker, established, dozen, yineyards
Glaetzer-Dixon Family Winemakers,Southern Tasmania,www.gdfwinemakers.com,93 Brooker Avenue, Hobart, Tas 7000                        Southern Tasmania            TAS,0417 852 287,(03) 6248 5855,By appt,Nick Glaetzer,2008,2500,Not Available,
Glandore Estate,Hunter Valley,www.glandorewines.com,1595 Broke Road, Pokolbin, NSW 2320                        Hunter Valley            NSW,(02) 4998 7140,(02) 4998 7142,7 days 10-5,Duane Roy,2004,4000,8 hectares,
Glen Holme Vineyards,Southern Flinders Ranges,,White Park Road, Bangor via Wirrabara, SA 5481                        Southern Flinders Ranges            SA,(08) 8666 5222,(08) 8666 5222,Fri-Mon 10-5,Stephen John Wines (red), University of Adelaide (white),1998,560,11.73 hectares,
Glen Isla Estate,Perth Hills,www.glenislaestate.com.au,107 Glen Isla Road, Bickley, WA 6076 (postal)                        Perth Hills            WA,(08) 9293 5293,(08) 9293 5293,By appt,John Griffiths (Contract),1998,350,Not Available,
Glenalbyn,Bendigo,,84 Halls Road, Kingower, Vic 3517                        Bendigo            VIC,(03) 5438 8255,(03) 5438 8255,By appt,Leila (Lee) Gillespie,1997,NFP,2.8 hectares,
Glen Creek Wines,Upper Goulburn,,Upper Goulburn            VIC,Not Available,Not Available,This business is no longer operating,Not Available,2001,NA,Not Available,
Glen Eldon Wines,Barossa Valley,www.gleneldonwines.com.au,143 Nitschke Road, Krondorf, SA 5352                        Barossa Valley            SA,(08) 8568 2644,(08) 8568 1833,By appt,Richard Sheedy,1997,6000,50 hectares,
Glen Erin at Lancefield,Macedon Ranges,www.glenerin.com.au,200 Rochford Road, Lancefield, Vic 3435                        Macedon Ranges            VIC,(03) 5429 1041,(03) 5429 2053,W'ends and public hols 10-6,Kilchurn Wines,1993,250,Not Available,
Glenlofty Wines,Pyrenees,www.glenloftywines.com.au,123 Warrenmang-Glenlofty Road, Glenlofty, Vic 3469 (postal)                        Pyrenees,(03) 5354 8228,Not Available,Not,Blue Pyrenees Estate,1995,12 000,137 hectares,
Wirrega Vineyards,Limestone Coast Zone,www.wirregavineyards.com,PO Box 94, Mundulla, SA 5270            Mundulla            Limestone Coast Zone            SA            5270,(08) 8743 4167,Not Available,Not,Tom O'Donnell,1993,1000,163 hectares,
Wineinc,Various,www.wineinc.com.au,38 Willows Road, Gresford, NSW 2311                        Various,(02) 4938 9444,Not Available,Not,Bruce Glugston,2004,20 000,Not Available,
Bass River Winery,Gippsland,www.bassriverwinery.com,1835 Dalyston Glen Forbes Road, Glen Forbes, Vic 3990                        Gippsland            VIC,(03) 5678 8252,(03) 9462 2527,Thurs-Tues 9-5,Pasquale and Frank Butera,1999,1500,4 hectares,
Baarmutha Wines,Beechworth,www.baarmuthawines.com.au,1184 Diffey Road, Beethworth, Vic 3747                        Beechworth            VIC            3747,(03) 5728 2704,Not Available,By appt,Vincent Webb,2006,300,2 hectares,
Bass Phillip,Gippsland,www.bassphillip.com,Tosch?s Road, Leongatha South, Vic 3953                        Gippsland            VIC,(03) 5664 3341,(03) 5664 3209,By appt,Phillip Jones,1979,1500,Not Available,
Basket Range Wines,Adelaide Hills,www.basketrangewine.com.au,PO Box 65, Basket Range, SA 5138                        Adelaide Hills            SA,(08) 8390 1515,(08) 8390 1515,By appt,Phillip Broderick,1980,250,8 hectares,
Barley Stacks,The Peninsulas Zone,www.barleystackswines.com,1 Lizard Park Drive, Kilkerran, SA 5573                        The Peninsulas Zone            SA,(08) 8834 1258,(08) 8834 1287,7 days 10-4.30,John Zilm,1997,3000,Not Available,
Baileys of Glenrowan,Glenrowan,www.baileysofglenrowan.com.au,779 Taminick Gap Road, Glenrowan, Vic 3675                        Glenrowan            VIC            3675,(03) 5766 1600,(03) 5766 2596,7 days 10-5,Paul Dahlenburg,1870,15 000,143 hectares,
Bass Fine Wines,Northern Tasmania,,16 Goodman Court, Invermay, Launceston, Tas 7250                        Northern Tasmania            TAS,(03) 6326 8778,(03) 6331 0136,Mon-Fri 9-5,Guy Wagner,1999,3000,Not Available,
Bald Rock Wines,Strathbogie Ranges,www.baldrockwines.com.au,45 Vale Street, Nagambie, Vic 3608 (postal)                        Strathbogie Ranges            VIC,0419 485 277,Not Available,Not,Lindsay Brown (Contract,2000,1500,5 hectares,
Bainton Family Wines,Hunter Valley,www.bainton.com.au,390 Milbrodale Road, Bulga, NSW 2330 (postal)                        Hunter Valley            NSW,(02) 9968 1764,Not Available,Not,Tony Bainton,1998,NA,Not Available,
Baillieu Vineyard,Mornington Peninsula,www.baillieuvineyard.com.au,32 Tubbarubba Road, Merricks North, Vic 3926                        Mornington Peninsula            VIC,(03) 5989 7622,(03) 5989 7199,At Merricks General Wine Store,Geraldine McFaul,1999,2500,9.2 hectares,
Wild Geese Wines,Adelaide Hills,,PO Box 1157, Balhanna, SA 5242                        Adelaide Hills            SA,(08) 8388 4464,(08) 8388 4464,Not,Patrick O'Sullivan,2000,400,Not Available,
Wignalls Wines,Albany,www.wignallswines.com.au,448 Chester Pass Road (Highway 1), Albany, WA 6330                        Albany,(08) 9841 2848,(08) 9842 9003,7 days 11?4,Rob Wignall, Michael Perkins,1982,7000,18.5 hectares,
wightwick,Ballarat,www.wightwick.com.au,323 Slatey Creek Road North, Invermay, Vic 3352                        Ballarat            VIC,(03) 5332 4443,(03) 5332 8944,By appt,Simon Wightwick,1996,180,0.4 hectares,
Wicks Estate Wines,Adelaide Hills,www.wicksestate.com.au,21 Franklin Street, Adelaide, SA 5000 (postal)                        Adelaide Hills            SA            5000,(08) 8212 0004,(08) 8212 0007,Not,Leigh Ratzmer,2000,20 000,38.1 hectares,
Wild Cattle Creek Estate,Yarra Valley,www.wildcattlecreek.com,473 Warburton Highway, Wandin North, Vic 3139                        Yarra Valley            VIC,0419 368 663,(03) 0727 5549,W'ends   public hols 11-5,Mac Forbes,1996,1000,25 hectares,
Wild Duck Creek Estate,Heathcote,www.wildduckcreekestate.com,764 Spring Flat Road, Heathcote, Vic 3523                        Heathcote            VIC,(03) 5433 3133,(03) 5433 3133,By appt,David and Liam Anderson,1980,3500,15 hectares,
Wild Fox Organic Wines,Adelaide Plains,www.wildfoxwines.com,PO Box 343, Prospect SA 5082                        Adelaide Plains,(08) 8342 5321,Not Available,Not,Mark Jamieson,1998,12 000,17 hectares,
Wild Dog Winery,Gippsland,www.wilddogwinery.com,Warragul-Korumburra Road, Warragul, Vic 3820                        Gippsland            VIC,(03) 5623 1117,(03) 5623 6402,7 days 11?5,Max Marriott,1982,3000,10.1 hectares,
Will Taylor Wines,Various,www.willtaylor.com.au,1B Victoria Avenue, Unley Park, SA 5061                        Various            ACT,(08) 8271 6122,(08) 8271 6122,By appt,Various contract,1997,300,Not Available,
Wilmot Hills Vineyard,Northern Tasmania,www.wilmothills.com,407 Back Road, Wilmot, Tas 7310                        Northern Tasmania            TAS,(03) 6492 1193,(03) 6492 1193,Thurs-Tues 10-6,John and Ruth Cole,1991,250,Not Available,
Barrymore Estate,Mornington Peninsula,www.barrymore.com.au,76 Tuerong Road, Tuerong, Vic 3933                        Mornington Peninsula            VIC,(03) 5974 8999,(03) 9789 0821,Not,Peter Cotter,1998,NA,Not Available,
Barrgowan Vineyard,Geelong,www.barrgowanvineyard.com.au,30 Pax Parade, Curlewis, Vic 3222                        Geelong            VIC,(03) 5250 3861,(03) 5250 3840,By appt,Dick Simonsen,1998,150,0.5 hectares,
Barton Vineyard,Northern Tasmania,www.bartonvineyards.com,2464 Macquarie Road, Campbell Town, Tas 7210                        Northern Tasmania            TAS,(03) 6398 5114,(03) 6398 5170,When sign displayed on hwy,Winemaking Tasmania,2001,300,2 hectares,
Barristers Block,Adelaide Hills,www.barristersblock.com.au,141 Onkaparinga Valley Road, Woodside, SA 5244                        Adelaide Hills            SA,(08) 8389 7706,(08) 8364 2930,7 days 10.30-5,Anthony Pearce, Peter Leske,2004,7000,18.5 hectares,
Balgownie Estate,Bendigo,www.balgownieestatewines.com.au,Hermitage Road, Maiden Gully, Vic 3551                        Bendigo            VIC            3551,(03) 5449 6222,(03) 5449 6506,7 days 11-5,Tony Winspear,1969,10 000,35.28 hectares,
Ballabourneen,Hunter Valley,www.ballabourneen.com.au,515 McDonalds Road, Pokolbin, NSW 2320                        Hunter Valley            NSW,(02) 4998 6505,(02) 4930 9180,7 days 10-5,Daniel Binet,1993,5000,1 hectares,
Barwang,Hilltops,www.mcwilliams.com.au,Barwang Road, Young, NSW 2594 (postal)                        Hilltops            NSW            2594,(02) 9722 1200,(02) 9722 1260,Not,Russell Cody, Andrew Higgins,1969,NFP,100 hectares,
Barringwood,Northern Tasmania,www.barringwood.com.au,60 Gillams Road, Lower Barrington, Tas 7306                        Northern Tasmania            TAS            7306,(03) 6287 6933,(03) 6492 3360,Thurs-Mon 10-5,Josef Chromy Wines (Jeremy Dineen),1993,3000,5 hectares,
Bacchanalia Estate,Geelong,www.bacchanalia.com.au,Thielemanns Road, Gherang via Moriac, Vic 3240                        Geelong            VIC,(03) 5258 2520,(03) 5258 2520,By appt,John Reid, Peter Dredge (Contract),1994,1000,Not Available,
Bago Vineyards,Hastings River,www.bagovineyards.com.au,Milligans Road, Wauchope, NSW 2446                        Hastings River            NSW,(02) 6585 7099,Not Available,7 days 11?5,Jim Mobbs, Greg Hayward,1985,6000,10 hectares,
Baie Wines,Geelong,www.baiewines.com.au,120 McDermott Road, Curlewis, Vic 3222                        Geelong,0400 220 436,Not Available,By appt,Robin Brockett,2000,2000,6 hectares,
Bagdad Hills,Southern Tasmania,,1557 Midland Highway, Bagdad, Tas 7030                        Southern Tasmania,0408 127 004,Not Available,By appt,Winstead (Neil Snare),2001,140,2 hectares,
Baptista,Heathcote,,c/- David Traeger, 139 High Street, Nagambie, Vic 3608                        Heathcote            VIC,(03) 5794 2514,(03) 5794 1776,Mon-Fri 10-5, w'ends 12-5,David Traeger,1993,400,Not Available,
Baddaginnie Run,Strathbogie Ranges,www.baddaginnierun.net.au,PO Box 579, North Melbourne, Vic 3051                        Strathbogie Ranges            VIC,(03) 9348 9310,(03) 9348 9370,Not,Sam Plunkett,1996,2500,24 hectares,
Banksia Grove,Heathcote,www.banksiagrovewine.com.au,215 Heathcote-Redesdale Road, Heathcote, Vic 3523                        Heathcote            VIC,(03) 9948 0311,(03) 9948 0322,By appt,Ian Leamon (Contract),2002,1250,Not Available,
Bantry Grove,Orange,www.bantrygrove.com.au,25 Victoria Street, Millthorpe, NSW 2798            MiIlthorpe            Orange            NSW            2798,(02) 6368 1036,(02) 6368 1002,Fri-Sun and Mon public hols 10-5,Will Rikard-Bell,1990,1625,12.3 hectares,
Bannockburn Vineyards,Geelong,www.bannockburnvineyards.com,Midland Highway, Bannockburn, Vic 3331 (postal)                        Geelong            VIC,(03) 5281 1363,(03) 5281 1349,By appt,Matthew Holmes,1974,7000,24 hectares,
Banrock Station,Riverland,www.banrockstation.com.au,Holmes Road (off Sturt Highway), Kingston-on-Murray, SA 5331                        Riverland            SA            5331,(08) 8583 0299,(08) 8583 0288,Mon-Fri 9-4, w'ends and public hols 9-5,Paul Burnett,1994,NFP,240 hectares,
Bare Rooted,Margaret River,www.barerooted.com.au,101 Broome Street, Cottesloe, WA 6011 (postal)                        Margaret River            WA,0409 291 415,(08) 9385 3120,Not,Moss Brothers,1996,200,0.3 hectares,
Badger?s Brook,Yarra Valley,www.badgersbrook.com.au,874 Maroondah Highway, Coldstream, Vic 3770                        Yarra Valley            VIC,(03) 5962 4130,(03) 5962 4130,Wed-Sun 11?5,Michael Warren, Gary Baldwin (Consultant),1993,2500,4.8 hectares,
Wines of Willochra,Southern Flinders Ranges,,PO Box 1108, North Haven, SA 5018                        Southern Flinders Ranges            SA,0409 043 229,(08) 8341 9529,Not,Jeanneret (Ben Jeanneret),2004,675,Not Available,
Windance Wines,Margaret River,www.windance.com.au,2764 Caves Road, Yallingup, WA 6282                        Margaret River            WA            6282,(08) 9755 2293,(08) 9755 2293,7 days 10-5,Tyke Wheatley,1998,3500,7.25 hectares,
Wisdom Creek Wines,Various,www.wisdomcreekwines.com.au,14 Deloraine Road, Edwardstown, SA 5039                        Various            ACT,(08) 8276 3255,(08) 8276 4877,Mon-Fri 10-5,Jim Markeas,2001,35 000,Not Available,
Wirruna Estate,North East Victoria Zone,www.wirrunawines.com,419a Lake Road, Bethanga, Vic 3691                        North East Victoria Zone            VIC,(02) 6040 4808,(02) 6040 6046,By appt,John Woodhouse,1997,1650,Not Available,
Wirra Wirra,McLaren Vale,www.wirrawirra.com,463McMurtrie Road, McLaren Vale, SA 5171                        McLaren Vale            SA            5171,(08) 8323 8414,(08) 8323 8596,Mon-Sat 10-5, Sun and public hols 11-5,Paul Smith, Tom Ravech, Kerry Wellington,1894,150 000,51.31 hectares,
Wimmera Hills,Pyrenees,www.wimmerahills.com.au,606 Glenpatrick Road, Glenpatrick, Vic 3469                        Pyrenees            VIC,(03) 5354 8484,(03) 5354 8483,Thurs-Sun 10-6,Benjamin Baker,2001,500,1.7 hectares,
Wimbaliri Wines,Canberra District,www.wimbaliri.com.au,3180 Barton Highway, Murrumbateman, NSW 2582                        Canberra District            NSW            2582,(02) 6227 5921,Not Available,W'ends 10-5,Scott Gledhill,1988,600,2.2 hectares,
Willunga 100 Wines,McLaren Vale,www.willunga100.com,PO Box 2427, McLaren Vale, SA 5171                        McLaren Vale            SA            5157,0414 419 957,(08) 8323 7622,Not,Tim James, Mike Farmilo,2005,9500,Not Available,
Wily Trout Vineyard,Canberra District,www.ilytrout.com.au,Marakei-Nanima Road, via Hall, NSW 2618                        Canberra District            NSW            2618,(02) 6230 2487,(02) 6230 2211,7 days 10-5,Nick Spencer, Hamish Young (Contract),1998,2500,12.7 hectares,
Willoughby Park,Great Southern,www.willoughbypark.com.au,678 South Coast Highway, Denmark, WA 6333            Denmark            Great Southern            WA            6333,(08) 9848 1555,Not Available,7 days 10-5,Michael Ng,2010,13 000,19 hectares,
Barossa Cottage Wines,Eden Valley,www.barossawines.com.au,Nuriootpa-Angaston Road, Angaston, SA 5353                        Eden Valley            SA,(08) 8562 3212,(08) 8562 3243,Mon-Sat   public hols 10-4.30,Rod Chapman,1990,NA,Not Available,
Bangor Estate,Southern Tasmania,www.bangorshed.com.au,20 Blackman Bay Road, Dunalley, Tas 7177                        Southern Tasmania            TAS            7177,0418 594 362,Not Available,7 days 10-5,Winemaking Tasmania,2010,900,4 hectares,
Barokes Wines,Various,www.wineinacan.com,66 Lillee Crescent, Tullamarine, Vic 3043                        Various,(03) 98318 4800,(03) 9675 4594,Not,Steve Barics,2003,900 000,Not Available,
Barton Estate,Canberra District,www.bartonestate.com.au,2307 Barton Highway, Murrumbateman, NSW 2582                        Canberra District            ACT,(02) 6230 9553,(02) 6230 9565,W'ends and public hols 10-5,Capital Wines, Gallagher Wines,1997,500,7.7 hectares,
Barnadown Run,Heathcote,www.barnadownrun.com.au,390 Cornella Road, Toolleen, Vic 3551                        Heathcote            VIC,(03) 5433 6376,(03) 5433 6386,7 days 10?5,Andrew Millis,1995,1500,5 hectares,
Barley Stacks Wines,The Peninsulas Zone,www.barleystackswines.com,159 Lizard Park Drive, Maitland, SA 5573                        The Peninsulas Zone            SA,(08) 8834 1258,(08) 8834 1287,7 days 10-5,Colin Sheppard,1997,500,10 hectares,
Barrecas,Geographe,,South West Highway, Donnybrook, WA 6239                        Geographe            WA,(08) 9731 1716,(08) 9731 1716,Fri-Mon 10-5,Iolanda Ratcliffe,1994,NA,Not Available,
Barmah Park Wines,Mornington Peninsula,www.barmahparkwines.com.au,945 Moorooduc Road, Moorooduc, Vic 3933                        Mornington Peninsula            VIC,(03) 5978 8049,(03) 5978 8088,7 days 10-5,Ewan Campbell (Contract),2000,500,2.75 hectares,
Barretts Wines,Henty,,Portland-Nelson Highway, Portland, Vic 3305                        Henty            VIC,(03) 5526 5251,Not Available,7 days 11-5,Rod Barrett,1983,1000,4.5 hectares,
Barossa Settlers,Barossa Valley,,Trial Hill Road, Lyndoch, SA 5351                        Barossa Valley            SA,(08) 8524 4017,(08) 8524 4519,7 days 11-3,Jane Haese,1983,NA,Not Available,
Witchcliffe Estate,Margaret River,www.witchcliffe-estate.com.au,Wickham Road, Witchcliffe, WA 6285                        Margaret River            WA,(08) 9757 6279,(08) 9757 6279,7 days (summer), Wed-Sun (winter) 11-5,Peter Stanlake,2003,2000,20 hectares,
Witches Falls Winery,Queensland Zone,www.witchesfalls.com.au,79 Main Western Road, Tamborine Mountain, Qld 4272            Tamborine Mountain            Queensland Zone            QLD            4272,(07) 5545 2609,(07) 5545 0189,Mon-Fri 10-4, w'ends 10-5,Jon Heslop, Arantza Milicua Celador,2004,12 000,0.4 hectares,
Wirilda Creek,McLaren Vale,,c/- Local Traders Depot, 22 Old Coach Road, Aldinga, SA 5173                        McLaren Vale            SA,0407 100 922,(08) 8231 8842,7 days 10-5,Kerry Flanagan,1993,1000,Not Available,
Winewood,Granite Belt,,Sundown Road, Ballandean, Qld 4382                        Granite Belt            QLD,(07) 4684 1187,(07) 4684 1187,W'ends and public hols 95,Ian Davis,1984,NA,Not Available,
WineSA,South Australia,www.winesa.net,PO Box 13, Walkerville, SA 5081                        South Australia            SA,(08) 8234 5161,Not Available,Not,Neil Pike,2009,2000,Not Available,
Winetrust Estates,Swan Hill,www.winetrustestates.com,Murray Valley Highway, Swan Hill, Vic 3585                        Swan Hill            VIC            3585,(02) 9949 9250,(02) 9907 8179,Not,Callum Peace, Marion Peligri, Rob Moody,1999,59 000,88.9 hectares,
Winooka Park,Central Ranges Zone,,2161 Tarana Road, Gemalla, NSW 2795                        Central Ranges Zone            NSW,(02) 6337 5534,Not Available,Not,Tony Marsh, Madrez Wine Services,1991,330,0.75 hectares,
Winya Wines,Queensland Zone,www.winyawines.com.au,145 Sandy Creek Road, Kilcoy, Qld 4515 (postal)                        Queensland Zone            QLD,(07) 5497 1504,(07) 5497 1504,Not,Craig Robinson (Contract),1997,NA,Not Available,
Winter Creek Wine,Barossa Valley,www.wintercreekwine.com.au,Barossa Junction, Barossa Valley Way, Tanunda, SA 5352            PO Box Williamstown 5351            Barossa Valley            SA            5351,0427 246 382,(08) 8524 6384,Fri-Mon 10-5,Pam Cross, Michael Sawyer,2000,300,3 hectares,
Bamajura,Southern Tasmania,,775 Woodbridge Hill Road, Gardners Bay, Tas 7112                        Southern Tasmania            TAS,(03) 6295 0294,(03) 6295 0294,By appt,Scott Polley,1987,NA,Not Available,
Banderra Estate,Central Ranges Zone,www.banderraestate.com.au,282 Sandhills Road, Forbes, NSW 2871                        Central Ranges Zone            NSW,(02) 6852 1437,(02) 6852 1437,At McFeeters Car Museum, Oxford Street, Forbes,John Saleh, Chris Derrez (Contract),1920,250,3.7 hectares,
Bailey Wine Co,Coonawarra,www.baileywineco.com,PO Box 368, Penola, SA 5277                        Coonawarra,0417 818 539,Not Available,Not,Tim Bailey,2015,400,Not Available,
Banyandah Estate,Macedon Ranges,,PO Box 138, Trentham, Vic 3458                        Macedon Ranges,0404 800 950,Not Available,Not,Llew Knight,2002,450,2 hectares,
Banca Ridge,Granite Belt,www.qcwt.edu.au,22 McGlew Street, Stanthorpe, Qld 4380                        Granite Belt            QLD,(07) 4685 5050,(07) 4685 5099,7 days 10-4,Peter Orr,2001,1500,1.2 hectares,
Clover Hill,Northern Tasmania,www.cloverhillwines.com.au,60 Clover Hill Road, Lebrina, Tas 7254                        Northern Tasmania            TAS            7254,(03) 5459 7900,(03) 6395 6257,By appt,Robert Heywood, Peter Warr,1986,12 000,23.9 hectares,
Cliff House,Northern Tasmania,,57 Camms Road, Kayena, Tas 7270                        Northern Tasmania,(03) 6394 7454,Not Available,By appt,Winemaking Tasmania (Julian Alcorso),1983,NA,Not Available,
Barangaroo Boutique Wines,Western Victoria Zone,www.barangaroowines.com.au,928 Plush-Hannans Road, Lower Norton, Vic 3401                        Western Victoria Zone,0400 570 673,Not Available,Thurs-Sun and public hols 10-5,Welshmans Reef Vineyard (Ron Snep),2005,600,2.29 hectares,
Cloudscape,Macedon Ranges,,60 Pollards Lane, Drummond, Vic 3461                        Macedon Ranges            VIC,(03) 5423 9286,(03) 5423 9225,Not,Contract,2001,150,2.5 hectares,
Cloudbreak Wines,Adelaide Hills,www.cloudbreakwines.com.au,5A/1 Adelaide Lobethal Road, Lobethal, SA 5241                        Adelaide Hills            SA,0431 245 668,Not Available,Not,Simon Greenleaf, Randal Tomich,1998,22 000,80 hectares,
Clyde Park Vineyard,Geelong,www.clydepark.com.au,2490 Midland Highway, Bannockburn, Vic 3331            Bannockburn            Geelong            VIC            3331,(03) 5281 7274,(03) 5281 7309,7 days 11-5,Ben Mullen, Terry Jongebloed,1979,6000,10.1 hectares,
Cowaramup Wines,Margaret River,www.cowaramupwines.com.au,19 Tassel Road, Cowaramup, WA 6284            Cowaramup            Margaret River            WA            6284,(08) 9755 5195,(08) 9755 9441,By appt,Naturaliste Vintners (Bruce Dukes),1995,4000,17 hectares,
Shaw Family Vintners,Various,www.shawfamilyvintners.com,Myrtle Grove Road, Currency Creek, SA 5214            Goolwa            Various            SA            5214,(08) 8555 4215,(08) 8555 4216,7 days 10-5,John Loxton,2001,100 000,461 hectares,
Clancy's of Conargo,Riverina,,Killone Park, Conargo Road, Deniliquin, NSW 2710                        Riverina            NSW,(03) 5884 6684,(03) 5884 6779,7 days 10-6,Bernard Clancy, Jason Clancy,1999,NA,Not Available,
Clare Wine Co,Clare Valley,www.clarewineco.com.au,PO Box 852, Nuriootpa, SA 5355                        Clare Valley,(08) 8562 4488,Not Available,Not,Reid Bosward, Stephen Dew,2008,5000,36 hectares,
Cleggett Wines,Langhorne Creek,www.cleggettwines.com.au,Langhorne Creek Road, Langhorne Creek, SA 5255            Langhorne Creek            Langhorne Creek            SA            5255,(08) 8537 3133,(08) 8537 3102,7 days 10-6,Peter Leske (Consultant),2000,1500,74.86 hectares,
Clarnette and Ludvigsen Wines,Grampians,www.clarnette-ludvigsen.com.au,Westgate Road, Armstrong, Vic 3377                        Grampians,0409 083 833,Not Available,By appt,Leigh Clarnette,2003,400,15.5 hectares,
Cloudburst,Margaret River,www.cloudburstwine.com,PO Box 1294, Margaret River, WA 6285                        Margaret River,(08) 6323 2333,Not Available,Not,Will Berliner,2005,450,5 hectares,
Clonakilla,Canberra District,www.clonakilla.com.au,Crisps Lane, Murrumbateman, NSW 2582                        Canberra District            ACT,(02) 6227 5877,(02) 6227 5871,7 days 10-5,Tim Kirk, Bryan Martin,1971,17 000,13.5 hectares,
Clockwork Wines,Swan Valley,www.clockworkwines.com.au,8990 West Swan Road, West Swan, WA 6056 (postal)                        Swan Valley            WA,0401 033 840,Not Available,Not,Rob Marshall,2008,7000,5 hectares,
Wattle Mist Wines,Mount Barker,,Mount Barker            WA,Not Available,Not Available,This business is no longer operating,Not Available,1992,NA,Not Available,
Wattagan Estate Winery,Western Plains Zone,,'Wattagan', Oxley Highway, Coonabarabran, NSW 2357                        Western Plains Zone            NSW,(02) 6842 2456,(02) 6842 2656,7 days 10-5,Contract,1996,NA,Not Available,
Wattle Ridge Vineyard,Blackwood Valley,www.wattleridgewines.com.au,Loc 11950 Boyup-Greenbushes Road, Greenbushes, WA 6254                        Blackwood Valley            WA,(08) 9764 3594,(08) 9764 3594,Thurs-Mon 11-4,Contract,1997,1800,5.4 hectares,
Wattlebrook Vineyard,Hunter Valley,www.wattlebrook.com,Fordwich Road, Broke, NSW 2330                        Hunter Valley            NSW,(02) 9929 5668,(02) 9929 5668,Not,Andrew Margan (Contract),1994,1500,Not Available,
Waurn Ponds Estate,Geelong,www.waurnpondsestate.com.au,Nicol Drive North, Waurn Ponds, Vic 3217                        Geelong            VIC,(03) 5227 2143,(03) 5227 2111,Mon-Fri 10-4,Duncan MacGillivray,2001,4500,Not Available,
Warramate,Yarra Valley,www.warramatewines.com.au,27 Maddens Lane, Gruyere, Vic 3770                        Yarra Valley            VIC            3770,(03) 5964 9219,(03) 5964 9572,Not,Sarah Crowe,1970,3000,6.6 hectares,
Walter Clappis Wine Co,McLaren Vale,www.hedonistwines.com.au,Rifle Range Road, McLaren Vale, SA 5171            McLaren Vale            McLaren Vale            SA            5171,(08) 8323 8818,(08) 8323 8610,Not,Walter and Kimberley Clappis, James Cooter,1982,18 000,35 hectares,
Wallington Wines,Cowra,www.wallingtonwines.com.au,82 Lawrences Road, Canowindra, NSW 2904                        Cowra            NSW,(02) 6344 7153,(02) 6344 7105,By appt,Margaret Wallington, Nadja Wallington (Consultant),1992,1500,10 hectares,
Wandering Brook Estate,Peel,www.wanderingbrookestate.com.au,100 North Wandering Road, Wandering, WA 6308                        Peel            WA,(08) 9884 1084,(08) 9884 1064,W'ends 9.30?6,Jadran, Hotham Ridge Winery,1989,NA,Not Available,
Walter Wines,Mudgee,www.walterwines.com.au,179 Tinja Lane, Mudgee, NSW 2850                        Mudgee,0419 251 208,Not Available,Sat 10.30-5, Sun and public hols 10-2,David Lowe, Lisa Bray (Contract),2005,750,17 hectares,
Clearview Estate Mudgee,Mudgee,www.clearviewwines.com.au,Cnr Sydney Road/Rocky Water Hole Road, Mudgee, NSW 2850                        Mudgee            NSW,(02) 6372 4546,(02) 6372 7577,Fri 10-3 (Mar-Dec), w'ends   public hols 10-4,Contract,1995,1000,11 hectares,
Clackers Wine Co.,Adelaide Hills,www.clackerswineco.com.au,13 Wicks Road, Kuitpo, SA 5172                        Adelaide Hills,0402 120 680,Not Available,Not,Greg Clack,2015,299,Not Available,
Classic McLaren Wines,McLaren Vale,,Lot B, Coppermine Road, McLaren Vale, SA 5171                        McLaren Vale            SA,(08) 8323 0115,(08) 8323 9242,By appt,Andrew Braithwaite,1996,7100,Not Available,
Clarendon Hills,McLaren Vale,www.clarendonhills.com.au,Brookmans Road, Blewitt Springs, SA 5171            Blewitt Springs            McLaren Vale            SA            5171,(08) 8363 6111,(08) 8364 1484,By appt,Roman Bratasiuk,1990,15 000,63 hectares,
Cirko V,King Valley,www.cirko-v.com.au,148 Markwood-Tarrawingee Road, Markwood, Vic 3678                        King Valley            VIC,(03) 5727 0535,(03) 5727 0487,At Tinkers Hill,Trevor Knaggs, Rick Kinzbrunner (Contract),2003,400,Not Available,
Cirillo Wines,Barossa Valley,,Lot 298 Nuraip Road, Nuriootpa, SA 5355                        Barossa Valley            SA,0408 803 447,(08) 8562 1597,By appt,Marco Cirillo,2003,600,6 hectares,
Cicada Wines,Various,www.cicadawines.com,PO Box 808, Riverwood, NSW 2210                        Various            ACT,0412 809 855,(02) 9594 5290,7 days 10-5,Bogong Estate (Bill Tynan),2005,5000,Not Available,
Ciccone Wines,King Valley,www.cicconewines.com.au,Factory Road, Milawa, Vic 3678                        King Valley            VIC,(03) 5727 3860,(03) 5729 8511,Thurs-Mon 10-5,Pat Ciccone, Joe Ciccone,2005,NA,Not Available,
Circe Wines,Mornington Peninsula,www.circewines.com.au,PO Box 22, Red Hill, Vic 3937                        Mornington Peninsula,0417 328 142,Not Available,Not,Dan Buckle,2010,800,2.9 hectares,
Citadine Wines,Various,www.citadine.com.au,5 Beverley Street, Cheltenham, Vic 3192 (postal)                        Various,0407 100 313,Not Available,Not,Kirby Siemering,2008,400,Not Available,
Coorinja,Greater Perth Zone,,Toodyay Road, Toodyay, WA 6566                        Greater Perth Zone            WA,(08) 9574 2280,Not Available,Mon-Sat 10-5,Michael Wood,1870,NA,Not Available,
Copper Country,South Burnett,,Lot 6 Kingaroy Road, Nanango, Qld 4615                        South Burnett            QLD,(07) 4163 1011,(07) 4163 1122,7 days 9-5,Contract,1995,NA,Not Available,
